Macrotrends Data Download,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,,,,,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,,,,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,,,,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,,,,,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
date, value,ln(st/st-1),,,,,,,,,,,,
12/31/2009,1104,-0.008119124,,,,,,,,,,,,
1/4/2010,1113,-0.010946161,,,,,,,,,,,,
1/5/2010,1125.25,0.000222198,,,,,,,,,,,,
1/6/2010,1125,-0.005098094,,,,,,,,,,,,
1/7/2010,1130.75,0.007991164,,,,,,,,,,,,
1/8/2010,1121.75,-0.031804413,,,,,,,,,,,,
1/11/2010,1158,0.004543987,,,,,,,,,,,,
1/12/2010,1152.75,0.017502088,,,,,,,,,,,,
1/13/2010,1132.75,-0.004184567,,,,,,,,,,,,
1/14/2010,1137.5,0.004846892,,,,,,,,,,,,
1/15/2010,1132,-0.003307246,,,,,,,,,,,,
1/18/2010,1135.75,0.00154202,,,,,,,,,,,,
1/19/2010,1134,0.00441892,,,,,,,,,,,,
1/20/2010,1129,0.022392337,,,,,,,,,,,,
1/21/2010,1104,0.006816659,,,,,,,,,,,,
1/22/2010,1096.5,-0.006363658,,,,,,,,,,,,
1/25/2010,1103.5,0.011621414,,,,,,,,,,,,
1/26/2010,1090.75,-0.003660494,,,,,,,,,,,,
1/27/2010,1094.75,0.002744113,,,,,,,,,,,,
1/28/2010,1091.75,0.008277812,,,,,,,,,,,,
1/29/2010,1082.75,0.000692921,,,,,,,,,,,,
2/1/2010,1082,-0.029145961,,,,,,,,,,,,
2/2/2010,1114,-0.00403136,,,,,,,,,,,,
2/3/2010,1118.5,0.014408174,,,,,,,,,,,,
2/4/2010,1102.5,0.0466496,,,,,,,,,,,,
2/5/2010,1052.25,-0.01672792,,,,,,,,,,,,
2/8/2010,1070,0.001870908,,,,,,,,,,,,
